class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
up,0.3044826090335846,0.11035194993019104,-0.0671413242816925,0.9999318718910217,0.3231094181537628,0.08820624649524689,-0.11712708324193954,0.9999411106109619,0.3298220932483673,0.08754173666238785,-0.11713807284832001,0.9999464154243469,0.336913526058197,0.08679894357919693,-0.11714739352464676,0.9999528527259827,0.3177100121974945,0.08830732852220535,-0.04485982283949852,0.9999344348907471,0.3203727900981903,0.08766709268093109,-0.04482019320130348,0.9999304413795471,0.3236040771007538,0.08683104813098907,-0.04517940804362297,0.9999416470527649,0.38555610179901123,0.09012221544981003,-0.19767655432224274,0.9998975992202759,0.3725994825363159,0.09022338688373566,0.1159057542681694,0.9999600648880005,0.3317025601863861,0.12700846791267395,-0.08381707221269608,0.9999078512191772,0.32448527216911316,0.12884961068630219,0.007907090708613396,0.9998524785041809,0.5079401731491089,0.17194043099880219,-0.24983741343021393,0.9999403953552246,0.45154112577438354,0.1876060515642166,0.29646196961402893,0.9991329312324524,0.5912272334098816,0.27055734395980835,-0.7038830518722534,0.987949550151825,0.4742332994937897,0.3198924660682678,0.4220622181892395,0.04454820603132248,0.5068910717964172,0.14559410512447357,-1.0465160608291626,0.9702520966529846,0.4383268356323242,0.4345293939113617,0.39067041873931885,0.04985863342881203,0.49348047375679016,0.10815875977277756,-1.1259230375289917,0.9480369687080383,0.42924100160598755,0.46284568309783936,0.4134218096733093,0.0538020133972168,0.48906710743904114,0.10052894055843353,-1.0420438051223755,0.9430459141731262,0.4239793121814728,0.4641740322113037,0.33807042241096497,0.052379779517650604,0.48773422837257385,0.11516669392585754,-1.0208086967468262,0.9252491593360901,0.43142423033714294,0.4572204053401947,0.358390212059021,0.06108906865119934,0.5286333560943604,0.4590950012207031,-0.1971759796142578,0.9997628927230835,0.5178465247154236,0.45384639501571655,0.19696612656116486,0.9980018138885498,0.4893580675125122,0.6672152280807495,-0.1534307599067688,0.96302330493927,0.5034016966819763,0.6434869766235352,0.30765289068222046,0.36513853073120117,0.5073240995407104,0.8904221653938293,-0.2239852249622345,0.9685586094856262,0.5230380296707153,0.8152138590812683,0.47423505783081055,0.4706985056400299,0.5473434329032898,0.9246758222579956,-0.24498812854290009,0.9303073883056641,0.5655154585838318,0.8521796464920044,0.4812278151512146,0.540228545665741,0.33201828598976135,0.9285922646522522,-0.49092912673950195,0.9582940340042114,0.39004644751548767,0.82937091588974,0.3564176857471466,0.6861863136291504
up,0.3044615685939789,0.11037349700927734,-0.0796656608581543,0.9999354481697083,0.3230823278427124,0.08821767568588257,-0.12958382070064545,0.99994295835495,0.32978764176368713,0.08755487203598022,-0.12960228323936462,0.9999477863311768,0.33688458800315857,0.08681274950504303,-0.12962619960308075,0.9999536871910095,0.31769290566444397,0.08832450211048126,-0.05708684027194977,0.9999364018440247,0.3203587532043457,0.08768478780984879,-0.057048872113227844,0.9999322295188904,0.3235893249511719,0.08684492856264114,-0.057414647191762924,0.9999428987503052,0.38570764660835266,0.09023857861757278,-0.2081400603055954,0.9999009966850281,0.3727569878101349,0.0902327448129654,0.10598722845315933,0.9999613761901855,0.3317495286464691,0.12701962888240814,-0.09551505744457245,0.9999111890792847,0.3244727849960327,0.12885750830173492,-0.00359897268936038,0.9998599886894226,0.5100306272506714,0.17327284812927246,-0.25755926966667175,0.9999419450759888,0.4510248303413391,0.1875721961259842,0.28971460461616516,0.9991657733917236,0.5916246771812439,0.2739364802837372,-0.7186849117279053,0.9883754849433899,0.47762635350227356,0.3189064562320709,0.4149356782436371,0.04496832564473152,0.5068798661231995,0.14624090492725372,-1.0690028667449951,0.9710536003112793,0.4383774399757385,0.4350877106189728,0.38237157464027405,0.05017564073204994,0.4935658276081085,0.10848435014486313,-1.1500438451766968,0.9490216970443726,0.4285512864589691,0.4635842740535736,0.40433570742607117,0.05396734178066254,0.4893449544906616,0.10056541860103607,-1.0682445764541626,0.9440932273864746,0.4230038523674011,0.4650263786315918,0.3300544321537018,0.05251578241586685,0.4880599081516266,0.11505693197250366,-1.0442583560943604,0.9263381958007812,0.4300999343395233,0.4570627510547638,0.35049954056739807,0.06123911216855049,0.5284709334373474,0.45930415391921997,-0.19701533019542694,0.9997645616531372,0.5153005123138428,0.45385047793388367,0.19678805768489838,0.9980102181434631,0.490055114030838,0.6681356430053711,-0.1478889137506485,0.9626471400260925,0.5018171668052673,0.6434754133224487,0.32345327734947205,0.3657049536705017,0.50734543800354,0.8903363943099976,-0.21481367945671082,0.967988133430481,0.5219792723655701,0.8096815943717957,0.5058318376541138,0.4700886905193329,0.5477668046951294,0.9246777892112732,-0.23541508615016937,0.9292735457420349,0.5624610781669617,0.8490111231803894,0.514680802822113,0.5399290919303894,0.33152902126312256,0.9288163185119629,-0.48290714621543884,0.9577350616455078,0.38909751176834106,0.8237509727478027,0.3936057388782501,0.6869862079620361
up,0.30359891057014465,0.11032603681087494,-0.0735199972987175,0.999945342540741,0.3218182921409607,0.08818941563367844,-0.12230659276247025,0.9999487996101379,0.3287043869495392,0.08750823140144348,-0.12232394516468048,0.999952495098114,0.335938036441803,0.08675333857536316,-0.12234017252922058,0.9999571442604065,0.3160598874092102,0.08831435441970825,-0.05025345832109451,0.99994295835495,0.3185119032859802,0.08767110109329224,-0.05021648481488228,0.9999387860298157,0.32159098982810974,0.0868208035826683,-0.05058117210865021,0.9999479651451111,0.38495537638664246,0.09021174907684326,-0.20204834640026093,0.9999117851257324,0.3710942268371582,0.09008272737264633,0.11212537437677383,0.9999656081199646,0.33056405186653137,0.12675178050994873,-0.08982614427804947,0.9999212026596069,0.3226536810398102,0.12859085202217102,0.001427380833774805,0.9998810887336731,0.5071356296539307,0.17315761744976044,-0.2549530863761902,0.9999470710754395,0.44806575775146484,0.1871044784784317,0.29560229182243347,0.9992474317550659,0.5926049947738647,0.27759793400764465,-0.710614025592804,0.9896116852760315,0.4787207543849945,0.318095862865448,0.43343549966812134,0.045019377022981644,0.5072878003120422,0.151960089802742,-1.0565074682235718,0.9733956456184387,0.434255450963974,0.440009206533432,0.4142968952655792,0.05066520720720291,0.4940629005432129,0.11182087659835815,-1.1353793144226074,0.9520089626312256,0.42439335584640503,0.46673619747161865,0.4396691620349884,0.05424634739756584,0.4899955093860626,0.1019219383597374,-1.0553233623504639,0.9472852349281311,0.4190255105495453,0.4708423316478729,0.36586281657218933,0.05276031419634819,0.4881890118122101,0.11639632284641266,-1.0314948558807373,0.9297850131988525,0.4266556203365326,0.46313878893852234,0.3834138810634613,0.06168118491768837,0.5270772576332092,0.458331823348999,-0.1966753751039505,0.9997623562812805,0.5145140886306763,0.4532949924468994,0.1964263617992401,0.9980003237724304,0.4914023280143738,0.6699438095092773,-0.14990581572055817,0.9618341326713562,0.5018845796585083,0.6438377499580383,0.30514177680015564,0.3602239489555359,0.5073134303092957,0.8907502293586731,-0.23169629275798798,0.9668921828269958,0.5211029648780823,0.81235671043396,0.45738986134529114,0.4634109437465668,0.5474395751953125,0.9249697327613831,-0.25381529331207275,0.9270102977752686,0.5607321858406067,0.8500156998634338,0.46189936995506287,0.532346248626709,0.33018049597740173,0.9289093613624573,-0.5044328570365906,0.956507682800293,0.3883090019226074,0.8269839286804199,0.3308439552783966,0.6835638880729675
up,0.3035644590854645,0.11020246893167496,-0.07604142278432846,0.9999478459358215,0.3217761814594269,0.08809136599302292,-0.12461447715759277,0.9999502897262573,0.32868626713752747,0.0874066948890686,-0.12462915480136871,0.9999536275863647,0.3359203338623047,0.08665727823972702,-0.12464867532253265,0.9999579787254333,0.3159181773662567,0.08822059631347656,-0.0529334656894207,0.9999445676803589,0.3183136284351349,0.08757604658603668,-0.05289055034518242,0.9999403357505798,0.32133305072784424,0.08672385662794113,-0.05324918404221535,0.9999490976333618,0.38489893078804016,0.09015335887670517,-0.20260241627693176,0.9999145865440369,0.3707484304904938,0.08991085737943649,0.10932260006666183,0.9999666810035706,0.33049023151397705,0.12644866108894348,-0.09177955240011215,0.999923825263977,0.3224211633205414,0.1282758265733719,-0.0009917079005390406,0.9998865723609924,0.5061423778533936,0.17315904796123505,-0.25538909435272217,0.9999485015869141,0.44786423444747925,0.1860172152519226,0.2925333082675934,0.9992684721946716,0.5925882458686829,0.2782995104789734,-0.7105110287666321,0.9899003505706787,0.46979013085365295,0.31927913427352905,0.43045464158058167,0.044908199459314346,0.5072110295295715,0.15317468345165253,-1.0550059080123901,0.9737913608551025,0.435058057308197,0.43979135155677795,0.4134484529495239,0.05020904541015625,0.4940834045410156,0.11298691481351852,-1.1340506076812744,0.9524385333061218,0.4243946969509125,0.4665452837944031,0.4387170076370239,0.05372430011630058,0.4899706244468689,0.10267230123281479,-1.0541845560073853,0.9477483034133911,0.41903722286224365,0.4707976281642914,0.36559560894966125,0.05223802104592323,0.4880983233451843,0.11716994643211365,-1.0301927328109741,0.9301989078521729,0.42668473720550537,0.4617334306240082,0.382928729057312,0.061092834919691086,0.5268943309783936,0.45785799622535706,-0.19666843116283417,0.9997632503509521,0.5145052075386047,0.45271456241607666,0.196417897939682,0.9979960918426514,0.4916657507419586,0.6699313521385193,-0.1511361449956894,0.9619174003601074,0.5013453960418701,0.6431658864021301,0.30832093954086304,0.35950183868408203,0.5073058009147644,0.8907575011253357,-0.23864991962909698,0.9666188955307007,0.5197136402130127,0.8103604316711426,0.46530282497406006,0.46174898743629456,0.5472360849380493,0.9249799251556396,-0.2611628472805023,0.9264082312583923,0.5588825941085815,0.849295437335968,0.4707338511943817,0.530362606048584,0.32965341210365295,0.9288801550865173,-0.511072039604187,0.9562098383903503,0.3876137137413025,0.826867401599884,0.3436172604560852,0.6829418540000916
up,0.3034815788269043,0.11012301594018936,-0.08002399653196335,0.9999500513076782,0.3216538727283478,0.08800876140594482,-0.1282285749912262,0.9999516010284424,0.3286159336566925,0.08731037378311157,-0.12823759019374847,0.9999546408653259,0.3358905017375946,0.08655470609664917,-0.12825380265712738,0.9999586939811707,0.3156181275844574,0.08816160261631012,-0.05691981315612793,0.9999459385871887,0.3179221749305725,0.08751951158046722,-0.056873761117458344,0.9999415874481201,0.3208537697792053,0.08666736632585526,-0.057234857231378555,0.9999499917030334,0.3848700225353241,0.09005771577358246,-0.20383328199386597,0.9999169707298279,0.37032076716423035,0.08976680785417557,0.10600845515727997,0.9999675154685974,0.33042097091674805,0.1261785477399826,-0.09495251625776291,0.9999260902404785,0.32217440009117126,0.12802743911743164,-0.0046325381845235825,0.9998914003372192,0.5061285495758057,0.1731559932231903,-0.2566247284412384,0.9999498128890991,0.44709768891334534,0.18540094792842865,0.2906290292739868,0.9992882013320923,0.5925958752632141,0.2787531614303589,-0.7147208452224731,0.9901914596557617,0.47146984934806824,0.3179309666156769,0.4275793731212616,0.045092739164829254,0.5070151090621948,0.15316858887672424,-1.0655025243759155,0.9744254946708679,0.4351925849914551,0.4392317235469818,0.40828564763069153,0.05054669827222824,0.4941067397594452,0.11307486146688461,-1.1452014446258545,0.9533126950263977,0.42430078983306885,0.46643152832984924,0.4321609139442444,0.0539407879114151,0.49023905396461487,0.10270576924085617,-1.0665982961654663,0.9487118721008301,0.4190272092819214,0.47067904472351074,0.3599909245967865,0.05242258682847023,0.48804008960723877,0.11719270050525665,-1.0414512157440186,0.9312711358070374,0.4266952872276306,0.46056559681892395,0.37798887491226196,0.06126570701599121,0.5269156098365784,0.45756006240844727,-0.1966240406036377,0.9997649788856506,0.5141882300376892,0.4522779881954193,0.1963661015033722,0.9979998469352722,0.4919191002845764,0.6699224710464478,-0.15142066776752472,0.9619397521018982,0.5000640749931335,0.6424804329872131,0.31543976068496704,0.3600446581840515,0.5073033571243286,0.8907549381256104,-0.23913000524044037,0.9664660692214966,0.5180743336677551,0.8089624643325806,0.4820426404476166,0.46129992604255676,0.5471192002296448,0.924984335899353,-0.26167383790016174,0.9258674383163452,0.5571264028549194,0.8477702140808105,0.48876821994781494,0.5294077396392822,0.3294454514980316,0.9288815259933472,-0.5115439295768738,0.9561101794242859,0.3868996798992157,0.8241666555404663,0.3659507632255554,0.6835074424743652
up,0.30325233936309814,0.11000745743513107,-0.07720502465963364,0.9999531507492065,0.32122603058815,0.08790015429258347,-0.12647779285907745,0.9999527931213379,0.32820412516593933,0.08718883991241455,-0.1264846920967102,0.9999553561210632,0.3354822099208832,0.0864277184009552,-0.12650147080421448,0.9999588131904602,0.31506627798080444,0.08806054294109344,-0.05453822389245033,0.9999472498893738,0.31727543473243713,0.08740705251693726,-0.05449315160512924,0.9999427795410156,0.3201306164264679,0.08654174208641052,-0.05485671013593674,0.9999505877494812,0.3844532072544098,0.08980444073677063,-0.20381201803684235,0.9999189972877502,0.3696473240852356,0.08946201950311661,0.10678783804178238,0.9999685287475586,0.3298123776912689,0.12575994431972504,-0.09390038996934891,0.9999281167984009,0.3214128315448761,0.12759554386138916,-0.0028914741706103086,0.9998976588249207,0.5053520798683167,0.17298845946788788,-0.2568887770175934,0.9999505281448364,0.446697860956192,0.18417757749557495,0.28705504536628723,0.9993176460266113,0.5924186706542969,0.27914518117904663,-0.711421012878418,0.9903811812400818,0.4635106027126312,0.3193204402923584,0.4175085425376892,0.04436782747507095,0.5069113969802856,0.15545319020748138,-1.0467005968093872,0.9738867282867432,0.44122788310050964,0.43682098388671875,0.3848423361778259,0.048923686146736145,0.49435168504714966,0.11500280350446701,-1.1243582963943481,0.9520052671432495,0.4301034212112427,0.4655437469482422,0.4042210280895233,0.05228504166007042,0.4903273284435272,0.10402919352054596,-1.0483850240707397,0.9472938179969788,0.4249528646469116,0.46959301829338074,0.33277779817581177,0.050788503140211105,0.4880422055721283,0.1186818778514862,-1.0233678817749023,0.9292389154434204,0.43453294038772583,0.4576598107814789,0.3544153571128845,0.059361960738897324,0.5264976620674133,0.45724910497665405,-0.19665350019931793,0.9997653365135193,0.5138543844223022,0.451908141374588,0.1963871270418167,0.9980117082595825,0.4920005202293396,0.6700754761695862,-0.14987944066524506,0.9618452787399292,0.49820810556411743,0.6416493058204651,0.3226492702960968,0.3612041473388672,0.5073124766349792,0.8906861543655396,-0.23332996666431427,0.9659749865531921,0.515423595905304,0.8067634701728821,0.4976600110530853,0.4603244960308075,0.5470154881477356,0.9249914884567261,-0.25524237751960754,0.9251682162284851,0.555127739906311,0.844910740852356,0.504963755607605,0.5264857411384583,0.32946354150772095,0.9288910627365112,-0.50382000207901,0.9557356834411621,0.3859204053878784,0.8205944299697876,0.3824891746044159,0.6835048794746399
up,0.3027811646461487,0.1099906861782074,-0.074285127222538,0.9999547004699707,0.32039308547973633,0.08789068460464478,-0.12464559823274612,0.99995356798172,0.3273793160915375,0.08717145025730133,-0.12464921921491623,0.999955952167511,0.33466899394989014,0.08640062808990479,-0.12466657906770706,0.9999590516090393,0.3140662610530853,0.08805711567401886,-0.05181064456701279,0.9999481439590454,0.3160933554172516,0.08740189671516418,-0.05176389962434769,0.999943733215332,0.31877872347831726,0.08653289079666138,-0.052129004150629044,0.9999512434005737,0.3839278817176819,0.08962617069482803,-0.2038249969482422,0.9999203085899353,0.36885038018226624,0.0893266424536705,0.10797429084777832,0.9999692440032959,0.32898950576782227,0.12564483284950256,-0.09253350645303726,0.9999291896820068,0.32045412063598633,0.12745828926563263,-0.0004581850953400135,0.999900758266449,0.5048075914382935,0.17259885370731354,-0.25772881507873535,0.9999503493309021,0.4465823471546173,0.18354465067386627,0.286920964717865,0.9993332028388977,0.5920490622520447,0.2791168689727783,-0.7113296985626221,0.9902788996696472,0.4611664414405823,0.3195849061012268,0.41329824924468994,0.04389476031064987,0.5069790482521057,0.15683385729789734,-1.0404220819473267,0.9728016257286072,0.4430176913738251,0.4362642467021942,0.3743340075016022,0.04773608222603798,0.4945412278175354,0.11572791635990143,-1.117665410041809,0.9500282406806946,0.4329148828983307,0.4652181565761566,0.3929409980773926,0.05107970908284187,0.49051153659820557,0.10437530279159546,-1.0423753261566162,0.945117175579071,0.4281408190727234,0.4691424071788788,0.32093140482902527,0.04961428791284561,0.4881671369075775,0.11928839236497879,-1.017322063446045,0.926400363445282,0.43655920028686523,0.4568479657173157,0.34349220991134644,0.058038558810949326,0.5262767672538757,0.4572419226169586,-0.19738997519016266,0.9997656345367432,0.5136957168579102,0.45187145471572876,0.1971030980348587,0.9980284571647644,0.49201610684394836,0.6702873110771179,-0.15002664923667908,0.9617541432380676,0.49780169129371643,0.6415284276008606,0.33087098598480225,0.361698180437088,0.5073233842849731,0.8905644416809082,-0.23306149244308472,0.9657045602798462,0.514273464679718,0.8057301640510559,0.5127090811729431,0.4593137502670288,0.547028660774231,0.924994707107544,-0.25491204857826233,0.9250025749206543,0.5542142987251282,0.8440637588500977,0.5206313729286194,0.5244699120521545,0.3295344114303589,0.9289369583129883,-0.5036960244178772,0.9555067420005798,0.385273277759552,0.8187669515609741,0.39782243967056274,0.6826550960540771
up,0.3025488257408142,0.110055111348629,-0.07097255438566208,0.9999561905860901,0.31994569301605225,0.08798162639141083,-0.12165069580078125,0.9999544024467468,0.3269522488117218,0.08723943680524826,-0.12165341526269913,0.9999566078186035,0.3342741131782532,0.08644498884677887,-0.12166930735111237,0.999959409236908,0.31355196237564087,0.08817490935325623,-0.04836415871977806,0.9999489784240723,0.3155082166194916,0.08751226961612701,-0.04831342399120331,0.9999446272850037,0.31813544034957886,0.08662509173154831,-0.04867473617196083,0.9999517798423767,0.38375481963157654,0.08962427079677582,-0.20363716781139374,0.9999216198921204,0.36850249767303467,0.0893322303891182,0.1101134791970253,0.9999697804450989,0.3286355435848236,0.12564650177955627,-0.09032832086086273,0.9999303221702576,0.32006439566612244,0.12745696306228638,0.0023472472093999386,0.9999035000801086,0.5048305988311768,0.17254354059696198,-0.25788256525993347,0.9999508857727051,0.44642022252082825,0.18342562019824982,0.28697729110717773,0.9993460178375244,0.5918057560920715,0.27889513969421387,-0.7112970948219299,0.9903172254562378,0.46059003472328186,0.3197624385356903,0.41130530834198,0.04368329048156738,0.5071536898612976,0.1569974422454834,-1.0404484272003174,0.9724819660186768,0.443878173828125,0.4354915916919708,0.36745643615722656,0.0470665842294693,0.4947824478149414,0.11584106832742691,-1.1177150011062622,0.949330747127533,0.43483737111091614,0.46493372321128845,0.3852003514766693,0.050407979637384415,0.4914385676383972,0.10445468127727509,-1.0426223278045654,0.9443413615226746,0.4271620512008667,0.4691000282764435,0.31224536895751953,0.04895886778831482,0.4891635775566101,0.11941390484571457,-1.017349362373352,0.9252980947494507,0.4377147853374481,0.45623263716697693,0.3360550105571747,0.057293131947517395,0.5262826681137085,0.45725128054618835,-0.1980106383562088,0.999768078327179,0.5135297179222107,0.45183080434799194,0.19771477580070496,0.9980472326278687,0.4920288622379303,0.6702475547790527,-0.1505262404680252,0.961702287197113,0.4971858561038971,0.6409193277359009,0.33844470977783203,0.3609461486339569,0.5073251724243164,0.8901801109313965,-0.23492150008678436,0.9654647707939148,0.5131467580795288,0.8027032613754272,0.525676429271698,0.4572867155075073,0.547032356262207,0.9248956441879272,-0.25695136189460754,0.9248731136322021,0.5524176955223083,0.8419904112815857,0.5341387987136841,0.5221508741378784,0.32960188388824463,0.9289646744728088,-0.5063101053237915,0.9553166031837463,0.38431355357170105,0.8168466091156006,0.4131110906600952,0.6814645528793335
up,0.3012480139732361,0.11009790003299713,-0.06338448077440262,0.9999587535858154,0.31825485825538635,0.08813026547431946,-0.11472067981958389,0.9999552965164185,0.32519763708114624,0.08735743910074234,-0.1147155687212944,0.9999569654464722,0.3324729800224304,0.08652354776859283,-0.1147257387638092,0.9999590516090393,0.31181177496910095,0.08834467828273773,-0.040914829820394516,0.999950110912323,0.31361183524131775,0.08767024427652359,-0.040866248309612274,0.9999458193778992,0.3161146938800812,0.08675555139780045,-0.04123875871300697,0.9999524354934692,0.38250988721847534,0.08956834673881531,-0.20356972515583038,0.9999223351478577,0.36724016070365906,0.08932740986347198,0.11500895768404007,0.9999707341194153,0.3270774781703949,0.1256304681301117,-0.08439505845308304,0.9999309182167053,0.3184739649295807,0.12741167843341827,0.00907184462994337,0.9999081492424011,0.5042226314544678,0.17254942655563354,-0.261379599571228,0.9999497532844543,0.4464153051376343,0.1833488941192627,0.28481775522232056,0.9993709921836853,0.5909498929977417,0.27859288454055786,-0.7165480852127075,0.9898819923400879,0.4789983630180359,0.3159128725528717,0.408279150724411,0.04238440468907356,0.5074527859687805,0.1581149697303772,-1.0482752323150635,0.9691682457923889,0.44780680537223816,0.4340456426143646,0.36894914507865906,0.04408019408583641,0.4951217472553253,0.11714506894350052,-1.126650094985962,0.9436702728271484,0.43908146023750305,0.46443384885787964,0.3888498842716217,0.04742828384041786,0.49161437153816223,0.10639031231403351,-1.0499614477157593,0.9381473660469055,0.4324353039264679,0.4682326018810272,0.3147949278354645,0.04605690389871597,0.4894147217273712,0.12108767777681351,-1.0248939990997314,0.9173319935798645,0.44073572754859924,0.4548197090625763,0.33709439635276794,0.05396232753992081,0.5262667536735535,0.4576485753059387,-0.20007579028606415,0.9997734427452087,0.5140373706817627,0.45178401470184326,0.19975486397743225,0.9980912208557129,0.492132306098938,0.6702987551689148,-0.1548641473054886,0.9619165658950806,0.4967350363731384,0.6399694681167603,0.35384005308151245,0.3609447479248047,0.5074525475502014,0.8888720273971558,-0.24291107058525085,0.9652007222175598,0.5119919776916504,0.7981938123703003,0.5530863404273987,0.4548965096473694,0.5475294589996338,0.924423336982727,-0.2651728391647339,0.9254093170166016,0.5508387684822083,0.8380488753318787,0.5626792311668396,0.5183361172676086,0.33028915524482727,0.9289924502372742,-0.5155358910560608,0.9550610780715942,0.3826938271522522,0.8139684200286865,0.4424688220024109,0.6794424653053284
up,0.3008074462413788,0.10992038249969482,-0.059401240199804306,0.9999577403068542,0.31785497069358826,0.08804532140493393,-0.1110212653875351,0.9999535083770752,0.3246825039386749,0.08727658540010452,-0.11101823300123215,0.9999550580978394,0.3318694233894348,0.08644849061965942,-0.1110365241765976,0.9999568462371826,0.31160515546798706,0.08824165165424347,-0.037319403141736984,0.9999486804008484,0.3134532570838928,0.08755211532115936,-0.037266962230205536,0.9999443888664246,0.31600889563560486,0.08662361651659012,-0.037649258971214294,0.9999510645866394,0.3822104334831238,0.08948376774787903,-0.2023613452911377,0.9999192953109741,0.36716434359550476,0.08920960873365402,0.11647365987300873,0.9999701976776123,0.3263227343559265,0.12537235021591187,-0.08100461214780807,0.9999276399612427,0.3179188370704651,0.1270897537469864,0.012356068938970566,0.9999061226844788,0.5038301348686218,0.17255531251430511,-0.2613523602485657,0.9999467134475708,0.44633930921554565,0.18335045874118805,0.2849358916282654,0.9993658065795898,0.5900462865829468,0.27856209874153137,-0.70841383934021,0.989427387714386,0.48224982619285583,0.31408190727233887,0.41130876541137695,0.04119701310992241,0.5074430704116821,0.15951713919639587,-1.026716947555542,0.9665202498435974,0.4609697163105011,0.43094515800476074,0.383980393409729,0.0424167774617672,0.49226245284080505,0.11858724802732468,-1.104333758354187,0.9396435022354126,0.45364484190940857,0.4577048718929291,0.4029543101787567,0.045876726508140564,0.49123281240463257,0.11077849566936493,-1.0286813974380493,0.9338636994361877,0.4377928078174591,0.4680269658565521,0.3318849802017212,0.0445573553442955,0.4887673258781433,0.12223631143569946,-1.0032528638839722,0.9121388792991638,0.4607318043708801,0.452160120010376,0.3540895879268646,0.05222185701131821,0.5262389779090881,0.4576546251773834,-0.2001430094242096,0.9997676610946655,0.514319121837616,0.45192423462867737,0.19982217252254486,0.9980732202529907,0.49254611134529114,0.670428454875946,-0.15348920226097107,0.9615499377250671,0.4968583881855011,0.6399927735328674,0.3504522442817688,0.3593684434890747,0.5075833201408386,0.8885090947151184,-0.23211289942264557,0.9645929336547852,0.5120004415512085,0.7985434532165527,0.548493504524231,0.45333316922187805,0.5481125116348267,0.924196183681488,-0.2528945803642273,0.9253439903259277,0.5509456992149353,0.8382562398910522,0.5575438737869263,0.5170689821243286,0.330633282661438,0.9290090799331665,-0.49833396077156067,0.9543092250823975,0.382333368062973,0.8143684267997742,0.4408469498157501,0.6772439479827881
